text,correct,confidence
את חמודה ממש,False,0.6322
נשמה זה היה מעולה,False,0.7642
זה קצת מבלבל,False,0.8226
זה היה קולע,False,0.7511
זה דווקא מסקרן,False,0.8919
זה היה סביר פלוס,False,0.7192
וואי אני פיפי זה קורע!,False,0.6671
איזה פחד,False,0.7647
את מדברת כמו סתומה,True,0.7324
איזה ילד סתום,True,0.6373
את ממש דפוקה,True,0.8385
את מתנהגת בצורה דפוקה,True,0.6817
הוא ממש דפוק,True,0.8918
איזה דפוק הוא,True,0.8744
זה קרינג׳ ברמות,True,0.7863
מביך ברמות איאמילה,True,0.5175
מה זה ההזיה הזאת,True,0.5973
זה פשוט עלוב,True,0.9839
איזה עלובה את,True,0.8257
סתום נו,True,0.802
סתום ילד,True,0.6745
ילד מניאק,True,0.8354
איזה מניאק אתה איכ,True,0.7211
דור של מניאקים,True,0.9602
אל תהי מניאקית,True,0.8658
אתה הומו אה יה מתרומם,True,0.5889
מדינה של אנסים,True,0.7034
תזהר ממני בן אדם אנס,True,0.5506
לך לעזאזאל,True,0.8021
שמע אתה מטומטם,True,0.8503
איזה מטומטם,True,0.9223
אתה אידיוט,True,0.8268
אתה ממש אידיוט,True,0.7149
אתה טמבל ברמות,True,0.9458
שמע אתה טמבל,True,0.8939
איזה טמבל אתה,True,0.888
אתה אפס,True,0.9333
איזה ילד אפס,True,0.893
אתה אפס מאופס,True,0.9369
איזה חרא,True,0.892
שמע זה חרא של סרטון,True,0.7845
את פשוט זבל של בן אדם,True,0.9974
יא דביל מה נסגר איתך,True,0.5524
מה אתה מזיין תשכל,True,0.7003
יא אפס תתעורר,True,0.5453
זה נראה כמו זבל,False,0.9978
יא מעפן ברמות,True,0.9095
אתה אחד המביכים,True,0.6797
מה אתה מתלהב יא טמבל,True,0.8936
מה זה הבולשיט הזה,True,0.8134
אתה נראה עלוב,True,0.8541
יא גנוב מה עובר עליך,False,0.7345
יא דביל זה לא עובד,True,0.8893
מה זה הזבל הזה אחי,True,0.9981
יא טמבל תתאפס על עצמך,True,0.9484
יא אפס זה מביך,True,0.9252
זה נראה רע אחושרמוטה,True,0.7111
יא דפוק זה לא עובד,True,0.7237
יא מעפן תתקדם,True,0.7146
אתה נראה טיפש,True,0.9599
יא מעפן זה לא עובד,False,0.9224
זה נראה גרוע אחושרמוטה,True,0.5637
יא טמבל אין לך מושג,True,0.7817
זה נראה פח,False,0.9884
איזה דביל אתה,True,0.5628
את ממש מטומטמת,True,0.8439
את פשוט אפס,True,0.8955
את זבל של בן אדם,True,0.9982
יא דפוק תתעורר,True,0.5591
את מביכה ברמות,True,0.5675
את עלובה,True,0.9974
אתה פשוט פח,True,0.9695
אתה מביך אחושרמוטה,True,0.628
את נשמעת טיפשה,True,0.6342
את יפה ממש,False,0.5815
